City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Sao Gabriel Da Cachoeira,BR,73.9,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
527,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
531,Rabo De Peixe,PT,67.28,few clouds,37.8,-25.5833,Quinta das Giestas
532,Kapit,MY,72.7,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
535,Hirado,JP,76.75,clear sky,33.3597,129.5531,Samson Hotel
536,Ojo Caliente,MX,77.74,overcast clouds,22.5708,-102.2519,MINERVA
539,Touros,BR,75.83,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
541,Mandera,KE,75.99,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
543,Japura,ID,73.0,moderate rain,-0.3167,102.35,Rumah mbah Jamah
545,Vostok,RU,69.28,overcast clouds,46.4856,135.8833,
546,Atambua,ID,73.36,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
547,Santa Cruz,BO,69.85,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
548,Wanning,CN,79.54,overcast clouds,18.8003,110.3967,Paradise Hotel
550,Punta De Piedra,VE,76.39,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
552,Sao Jose Da Coroa Grande,BR,75.02,light rain,-8.8978,-35.1478,Crôa Mares Hotel
554,Kikwit,CD,71.98,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
555,Neepawa,CA,70.2,overcast clouds,50.2289,-99.4664,"Westway Inn Motel, Neepawa"
558,Bima,ID,77.02,overcast clouds,-8.4667,118.7167,Lambitu Hotel
559,Luganville,VU,79.34,broken clouds,-15.5333,167.1667,The Espiritu Hotel
562,Xinqing,CN,69.53,scattered clouds,48.2333,129.5,
564,Dhidhdhoo,MV,81.19,overcast clouds,6.8833,73.1,Dhidhoo beach
568,Alto Araguaia,BR,67.26,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
570,Zemio,CF,67.55,light rain,5.0314,25.1361,OCHA Office
571,Ternate,ID,81.0,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
572,Shirokiy,RU,70.68,clear sky,49.758,129.523,
573,Sozopol,BG,66.54,clear sky,42.4167,27.7,Villa List
576,Nishihara,JP,83.86,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
577,Antalaha,MG,68.27,light rain,-14.9003,50.2788,Hotel Vitasoa
579,Cornwall,CA,69.04,scattered clouds,45.0181,-74.7281,Ramada by Wyndham Cornwall
582,Kutum,SD,76.23,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
583,Neiafu,TO,79.95,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
586,Cayenne,GF,75.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
588,Broome,US,76.69,clear sky,42.2506,-75.833,Chenango Valley State Park
589,Haines Junction,CA,75.15,scattered clouds,60.7522,-137.5108,Parkside Inn
590,Karatau,KZ,79.25,broken clouds,43.1667,70.4667,Baza Zika
591,Matara,LK,78.8,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
592,Adre,TD,78.75,broken clouds,13.4667,22.2,
595,Beira,MZ,68.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
596,Ipora,BR,69.58,clear sky,-16.4419,-51.1178,Oásis Motel
599,Jutai,BR,75.96,broken clouds,-5.1833,-68.9,
600,Boyolangu,ID,73.33,light rain,-8.1181,111.8935,Yos ega cv
601,Tulum,MX,84.22,clear sky,20.2167,-87.4667,Kin Ha Tulum
602,Warri,NG,74.64,light rain,5.5167,5.75,BON Hotel Delta
606,Lastoursville,GA,74.48,overcast clouds,-0.8143,12.7287,Auberge Bon Coin 02
610,Kropotkin,RU,65.3,few clouds,45.4375,40.5756,Hotel Europe Kropotkin
611,Assiniboia,CA,76.82,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
613,Kant,IN,81.79,heavy intensity rain,27.8,79.8,Sumit Verma
614,Kawalu,ID,68.68,broken clouds,-7.3817,108.2082,West Jontor
615,Srandakan,ID,74.55,overcast clouds,-7.9386,110.2506,Puri Brata
616,Ciechanow,PL,65.41,scattered clouds,52.8814,20.62,Hotel ATENA
617,Jacareacanga,BR,76.82,broken clouds,-6.2222,-57.7528,Casa do Ian😎
618,Yambio,SS,66.25,broken clouds,4.5721,28.3955,Naivasha Hotel
624,Morondava,MG,65.44,clear sky,-20.2833,44.2833,La Case Bambou
626,Ocampo,MX,73.11,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
629,Padang,ID,71.65,overcast clouds,-0.9492,100.3543,Mercure Padang
630,Bambanglipuro,ID,74.19,overcast clouds,-7.95,110.2833,Puri Brata
631,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
632,Iracoubo,GF,73.27,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
636,Machilipatnam,IN,84.07,overcast clouds,16.1667,81.1333,R&B Bungalow
637,Bukama,CD,66.38,scattered clouds,-9.2,25.85,
640,Tahta,EG,83.89,clear sky,26.7693,31.5021,فندق الزيات
642,Virginia Beach,US,83.01,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
644,Zhireken,RU,75.13,broken clouds,52.8249,117.3076,Gostinitsa
645,Chato,TZ,67.96,broken clouds,-2.6378,31.7669,Kagudule Lodge
646,Nuevo Progreso,MX,84.54,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
647,Moose Factory,CA,68.0,scattered clouds,51.2585,-80.6094,Cree Village Eco Lodge
648,Karangampel,ID,73.17,broken clouds,-6.4622,108.4519,ROOFTOP WAG ALL
649,Bhatkal,IN,79.05,light rain,13.9667,74.5667,Nilawar Palace
650,Jimenez,MX,80.42,broken clouds,28.3333,-105.4,El torreon
