City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
199,Belyy Yar,RU,53.6039,91.3903,62.49,67,0,6.71,clear sky,2022-06-29 23:07:19
200,Vao,NC,-22.6667,167.4833,70.52,62,18,14.88,few clouds,2022-06-29 23:07:20
201,Tambacounda,SN,13.7539,-13.7586,88.56,53,23,11.5,few clouds,2022-06-29 23:07:20
202,Itarema,BR,-2.9248,-39.9167,78.3,83,47,12.24,scattered clouds,2022-06-29 23:07:20
203,Cimarron Hills,US,38.8586,-104.6989,90.1,20,75,10.36,broken clouds,2022-06-29 23:02:22
204,Alugan,PH,12.2188,125.4808,79.72,86,100,7.81,overcast clouds,2022-06-29 23:07:21
205,Havre-Saint-Pierre,CA,50.2334,-63.5986,63.0,71,12,7.87,few clouds,2022-06-29 23:07:21
206,Akyab,MM,20.15,92.9,80.82,83,100,1.81,overcast clouds,2022-06-29 23:07:22
207,Hami,CN,42.8,93.45,79.68,21,0,8.34,clear sky,2022-06-29 23:07:22
208,Alice Springs,AU,-23.7,133.8833,38.75,75,0,4.61,clear sky,2022-06-29 23:05:15
209,Plouzane,FR,48.3833,-4.6167,53.65,87,97,6.91,overcast clouds,2022-06-29 23:07:23
210,Constitucion,CL,-35.3333,-72.4167,51.78,90,100,6.42,overcast clouds,2022-06-29 23:07:23
211,Honningsvag,NO,70.9821,25.9704,56.95,82,100,19.57,overcast clouds,2022-06-29 23:03:15
212,Banjar,ID,-8.19,114.9675,75.97,88,62,6.06,broken clouds,2022-06-29 23:07:24
213,Tilichiki,RU,60.4667,166.1,49.3,87,100,6.6,overcast clouds,2022-06-29 23:07:24
214,Ginir,ET,7.1333,40.7,55.63,83,38,12.26,scattered clouds,2022-06-29 23:07:25
215,Maniitsoq,GL,65.4167,-52.9,39.18,94,100,13.87,light rain,2022-06-29 23:07:25
216,Taltal,CL,-25.4,-70.4833,60.69,74,23,2.01,few clouds,2022-06-29 23:07:26
217,Hasaki,JP,35.7333,140.8333,86.29,73,100,1.05,overcast clouds,2022-06-29 23:07:26
218,Hualmay,PE,-11.0964,-77.6139,64.2,78,1,7.58,clear sky,2022-06-29 23:07:27
219,Sao Filipe,CV,14.8961,-24.4956,73.96,75,72,11.18,broken clouds,2022-06-29 23:07:27
220,Sarkand,KZ,45.41,79.9186,72.97,28,66,7.11,broken clouds,2022-06-29 23:07:28
221,Havelock,US,34.8791,-76.9013,79.05,83,75,6.91,broken clouds,2022-06-29 23:07:28
222,Ornskoldsvik,SE,63.2909,18.7153,65.35,94,94,3.44,overcast clouds,2022-06-29 23:07:29
223,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.95,84,4,18.57,clear sky,2022-06-29 23:05:09
224,Matay,EG,28.419,30.7792,81.7,45,0,10.71,clear sky,2022-06-29 23:07:29
225,Baherden,TM,38.4362,57.4316,85.14,41,3,5.91,clear sky,2022-06-29 23:07:30
226,Ponta Do Sol,PT,32.6667,-17.1,71.01,79,30,6.73,scattered clouds,2022-06-29 23:07:30
227,Mana,GF,5.6592,-53.7767,72.79,97,100,5.73,light rain,2022-06-29 23:08:30
228,Kaitangata,NZ,-46.2817,169.8464,47.61,69,100,8.9,overcast clouds,2022-06-29 23:08:31
229,Platonovka,RU,52.7106,41.952,51.82,80,0,0.89,clear sky,2022-06-29 23:08:31
230,Ribnica,SI,45.7386,14.7275,66.09,80,0,4.09,clear sky,2022-06-29 23:08:32
231,Salta,AR,-24.7859,-65.4117,53.58,58,0,3.0,clear sky,2022-06-29 23:08:32
232,Souillac,MU,-20.5167,57.5167,66.58,82,75,12.66,light rain,2022-06-29 23:08:33
233,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,87,75,13.8,broken clouds,2022-06-29 23:08:33
234,Sisimiut,GL,66.9395,-53.6735,41.13,92,100,3.89,light rain,2022-06-29 23:08:34
235,Geraldton,AU,-28.7667,114.6,45.01,81,0,6.91,clear sky,2022-06-29 23:08:34
236,Coruripe,BR,-10.1256,-36.1756,72.91,78,40,8.05,scattered clouds,2022-06-29 23:08:34
237,Spencer,US,43.1414,-95.1444,93.31,34,0,23.02,clear sky,2022-06-29 23:07:28
238,Hounde,BF,11.5,-3.5167,78.67,70,44,9.26,scattered clouds,2022-06-29 23:08:35
239,Gotsu,JP,35.0,132.2167,81.34,72,0,1.95,clear sky,2022-06-29 23:08:35
240,Marzuq,YE,14.4,46.4667,80.2,18,82,2.46,broken clouds,2022-06-29 23:08:36
